법정동명,매출(만원),업소수,유동인구,직장인 평균소득(만원)
계산동2가,"2,244",141,"36,293",313
공평동,"5,596",9,"31,389",323
교동,895,36,"6,735",317
남일동,"1,763",1,"10,639",306
대안동,0,0,"1,032",311
덕산동,"2,229",63,"21,648",307
동문동,"1,480",4,"9,751",301
동산동,905,30,"25,062",313
동성로1가,882,7,"3,687",301
동성로2가,"5,095",20,"23,717",301
동성로3가,"7,476",6,"10,102",306
문화동,"4,172",1,"19,591",301
봉산동,"1,850",41,"63,377",311
북성로1가,"1,763",1,"17,799",306
사일동,0,0,"12,194",301
삼덕동1가,"3,917",55,"23,695",319
서내동,0,1,328,311
수동,"1,763",1,"3,716",311
장관동,"1,763",2,"1,087",311
전동,"1,763",1,"3,966",311
종로1가,0,2,"5,778",311
포정동,"1,321",3,"10,728",306
향촌동,"2,125",5,"4,689",306
화전동,"1,499",5,"3,934",306